en,ta
I can't find it anywhere.,இது எங்கே இருக்கு என்று என்னால் கண்டுபிடிக்க முடியவில்லை.
I thought you'd be angry.,நீ கோபமாக இருப்பாய் என்று எண்ணினேன்.
Please sit here and wait.,"இங்கே அமருங்கள்,தயவு செயது காத்திருங்கள்"
She went out of the room.,அவள் அறையை விட்டு வெளியே சென்றாள்
Speak slowly and clearly.,மெதுவாகவும் தெளிவாகவும் பேசுங்கள்
The sky is full of stars.,வானம் முழுவதும் நட்சத்திரங்கள் இருக்கின்றன
Come and see me right now.,உடனே வந்து என்னைப் பார்க்கவும்
Do you have a lot of pens?,உன்னிடம் நிறைய பேனாக்கள் இருக்கின்றனவா?
Go and sit by your father.,போய் உன் தந்தையருகில் அமரவும்
He bought a pair of shoes.,நான் ஒரு ஜோடி காலணிகளை வாங்கினேன்
I live on the bottom floor.,நான் கீழ் தளத்தில் வசிக்கிறேன்
I sat between Tom and John.,டாமுக்கும் ஜானுக்கும் இடையில் அமர்ந்தேன்
She wore a beautiful dress.,அவள் அழகான ஆடை அணிந்திருந்தாள்
When did you come to Japan?,நீ எப்பொழுது ஜப்பான் வந்தாய்?
Most people think I'm crazy.,நிறைய மக்கள் நான் பைத்தியம் என்று எண்ணுகிறார்கள்
I suppose Tom is still alive.,டாம் இன்னும் உயிருடனிருக்கிறான் என்று எண்ணுகிறேன்.
She asked him for some money.,அவனைக் கொஞ்சம் பணம் கேட்டாள்
Tom told me about it himself.,டாம் அதைப் பற்றி அவனே என்னிடம் சொன்னான்.
Do you know when he will come?,அவன் எப்ப வருவான் என்று உனக்குத் தெரியுமா
He painted a picture of a dog.,ஒரு நாயின் படத்தை வரைந்தான்
I arrived ahead of the others.,மற்றவர்களுக்கு முன்னே நான் வந்தேன்
I know every inch of the town.,இந்த ஊரின் ஒவ்வொரு அங்குலமும் எனக்குத் தெரியும்
I'm not sharing this with Tom.,டாமிடம் நான் இதை பகிர்ந்துகொண்டு இருக்கவில்லை.
She is not afraid of anything.,அவள் எதற்கும் பயப்படுவதில்லை
The price of eggs is going up.,முட்டைகளின் விலை அதிகரித்துக் கொண்டிருக்கிறது
What is the price of this cap?,இந்த தொப்பியின் விலை என்ன?
Which of them is your brother?,இவர்களில் யார் உன்னுடைய சகோதரர்
He arrived after the bell rang.,மணி ஒலித்தப் பிறகு அவன் வந்தான்
He was not aware of the danger.,அவன் அபாயத்தை அறிந்திருக்க வில்லை
My throat hurts when I swallow.,சின்ன கேக்குத் துண்டு அவள் தொண்டையில் சிக்கிக் கொண்டது
The school looks like a prison.,இந்த பள்ளி கூடம் ஒரு சிறைச்சாலையைப் போல இருக்கிறது
I'm not sure how to answer this.,எப்படி பதில் சொல்வது என்பதில் நான் உறுதியாக இல்லை.
There's no easy way out of here.,இங்கிருந்து வெளியே செல்ல சுலபமான வழியில்லை.
Three vicious dogs attacked Tom.,மூன்று மோசமான நாய்கள் டாமை தாக்கின
Tom was in Australia a year ago.,டாம் ஒரு வருடத்திற்கு முன்னால் ஆஸ்திரேலியாவில் இருந்தார்
When did the wedding take place?,கல்யாணம் எப்பொழுது நடைப் பெற்றது
Where do you keep your passport?,நீ பாஸ்போர்ட்டைஎங்கே வைத்திருக்கிறாய்?
"Because he's sick, he can't come.",அவனுக்கு உடல் நிலை சரியில்லாததனால் அவனால் வர இயலாது
Friendship requires mutual trust.,நட்புக்குத் தேவை பரஸ்பர நம்பிக்கை
He put the ring on Mary's finger.,அவன் மேரியின் விரலில் மோதிரத்தை அணிவித்தான்
She glanced through the magazine.,அவள் பத்திரிக்கையை மேலோட்டமாகப் பார்த்தாள்
Tom has been crying all afternoon.,டாம் மதியம் முழுவதும் அழுதுகொண்டேயிருக்கிறான்.
Tom has been in contact with Mary.,டாம் மேரியுடன் தொடர்பிலிருந்துருக்கிறான் அல்லது டாம் மேரியுடன் தொடர்பிலிருக்கிறான்.
I want to be a pilot in the future.,நான் எதிர் காலத்தில் ஒரு விமானியாக விரும்புகிறேன்
"If Tom ran away, where could he go?","டாம் ஓடிவிட்டால், அவரால் எங்கு செல்ல முடியும்?"
I had my pocket picked on the train.,இரயிலில் என்னிடம் ஜேப்படி அடிக்கப் பட்டிருந்தது
He told her something and she smiled.,அவன் அவளிடம் ஏதோ சொன்னான் மற்றும் அவள் சிரித்தாள்.
I don't like to go out when it's dark.,இருட்டாக இருக்கும் பொழுது நான் வெளியே போக விரும்புவதில்லை.
"When he spoke, everyone became silent.",அவன் பேசியப் பொழுது எல்லோரும் அமைதி காத்தார்கள்
Tom drank with us until after midnight.,டாம் நள்ளிரவு வரை எங்களுடன் குடித்தார்.
She has never been in a car driven by him.,அவன் ஒட்டினக் காரில் அவள் எப்பொழுதும் இருந்ததில்லை
Tom goes to church with Mary every Sunday.,டாம் மேரியுடன் ஒவ்வொரு ஞாயிற்றுக் கிழமையும் தேவாலயத்துக்குச் செல்கிறான்.
I don't think people use that word anymore.,மக்கள் அந்த வார்த்தையைப் பயன் படுத்துவதாக எனக்குத் தெரியவில்லை
My younger sister got married in her teens.,என் தங்கை இள வயதிலேய கல்யாணம் செய்து கொண்டாள்
I wonder why Tom suggested we do that together.,ஏன் டாம் நாமிருவரும் சேர்ந்து செய்வோமென்று பரிந்துரைத்தான் என்று ஆச்சரியமடைகிறேன்.
Tom says he doesn't think he can do that by himself.,என் ஒருவனால் மட்டுமே அதை செய்ய முடியாது என்று நினைக்கிறேன் என டாம் கூறினார்
People who live in glass houses shouldn't throw stones.,கண்ணாடி வீட்டில் வசிப்பவகள் கல்லை எறியக் கூடாது
It's been a long time since I've heard anyone use that word.,ஒருவர் அந்த வார்த்தையைப் பயன் படுத்துவதைக் கேட்டு ரொம்ப நாளாகிறது
It's my fault that the cake was burned. I was talking on the phone and didn't notice the time.,என்னுடையத் தவறினால் கேக்கானதுக் கருகிப் போனது.தோலைப் பேசியில் பேசிக் கொண்டிருந்ததால் நேரத்தைக் கவனிக்க வில்லை
the ship 's crew are alerted .,கப்பலின் மாலுமிகள் எச்சரிக்கை .
i have nothing.,என்னிடம் எதுவும் இல்லை
see what i mean ?.,நான் என்ன சொல்றேன்னு புரிஞ்சுதா?.
about an hour ago.,சுமார் ஒரு மணி நேரத்திற்கு முன்பு
what 's your problem?.,உங்கள் பிரச்சனை என்ன?.
i 'll be late tonight.,நான் இன்றிரவு தாமதமாக வருவேன்.
i just need to eat something.,எனக்கு ஏதாவது சாப்பிடணும்.
do the others know?.,மத்தவங்களுக்கு தெரியுமா? .
the aims of the bush administration.,புஷ் நிர்வாகத்தின் நோக்கம்.
i 'm talking you and ms niles.,நான் உன்னையும் திருமதி நைல்ஸையும் பற்றி பேசுகிறேன்.
may his words come true!,சஞ்சய்ராமின் வார்த்தை சத்தியமாகட்டும்!
they'd reject me.,அவர்கள் என்னை நிராகரித்துவிடுவார்கள்.
the message is unmistakable.,இந்த செய்தி தெளிவானது.
you trained them well.,நீங்கள் அவர்களை நன்றாக பயிற்சி அளித்தீர்கள்.
I am going to school,நான் பள்ளிக்குச் செல்லுகிறேன்
She is reading a book,அவள் ஒரு புத்தகம் வாசிக்கிறாள்
He eats an apple,அவன் ஒரு ஆப்பிள் சாப்பிடுகிறான்
They are playing football,அவர்கள் கால்பந்து விளையாடுகிறார்கள்
We will meet tomorrow,நாங்கள் நாளை சந்திப்போம்
Can you help me?,நீங்கள் என்னை உதவ முடியுமா?
What is your name?,உங்கள் பெயர் என்ன?
Where do you live?,நீங்கள் எங்கே வாழ்கிறீர்கள்?
I love my family,நான் என் குடும்பத்தை காதலிக்கிறேன்
The weather is nice today,இன்று வானிலை நல்லது
She sings beautifully,அவள் அழகாக பாடுகிறாள்
Please open the door,தயவு செய்து கதவை திறக்கவும்
I have two brothers,எனக்கு இரண்டு அண்ணன் களை உள்ளனர்
The cat is under the table,பூனை மேசைக்குக் கீழே இருக்கிறது
He is a good teacher,அவன் ஒரு நல்ல ஆசிரியர்
I am feeling hungry,நான் பசிக்கிறேன்
We are going to the market,நாங்கள் சந்தைக்கு போகிறோம்
The sun rises in the east,சூரியன் கிழக்கில் உதயமாகிறது
I like to drink tea,எனக்கு டீ குடிக்க பிடிக்கும்
She wears a red dress,அவள் சிவப்பு உடை அணிகிறாள்
They work very hard,அவர்கள் மிகவும் கடுமையாக வேலை செய்கிறார்கள்
I will call you later,நான் உன்னிடம் பிறகு அழைப்பேன்
The children are sleeping,குழந்தைகள் உறங்குகிறார்கள்
Do you speak Tamil?,நீங்கள் தமிழ் பேசுகிறீர்களா?
It is raining heavily,கனமாக மழை பெய்கிறாள்
My father is at home,என் அப்பா வீட்டில் உள்ளார்
This book is interesting,இந்த புத்தகம் சுவாரஸ்யமாக உள்ளது
I saw a bird in the garden,நான் தோட்டத்தில் ஒரு பறவை பார்த்தேன்
She likes to dance,அவள் நடனம் பிடிக்கும்
He plays the guitar well,அவன் கிட்டார் நன்றாக வாசிக்கிறான்
Please give me some water,தயவு செய்து எனக்கு கொஞ்சம் தண்ணீர் கொடுக்கவும்
The movie was very good,சினிமா மிகவும் நல்லது
We live in a big city,நாங்கள் ஒரு பெரிய நகரத்தில் வாழ்கிறோம்
I am learning Tamil,நான் தமிழ் கற்றுக்கொள்கிறேன்
The food tastes delicious,உணவு ருசிகரமாக உள்ளது
They are watching TV,அவர்கள் டிவி பார்க்கிறார்கள்
My sister is a doctor,என் அக்கா ஒரு மருத்துவர்
Can you come here?,நீங்கள் இங்கே வர முடியுமா?
I don’t understand,எனக்கு புரியவில்லை
The baby is crying,பாப்பா அழுகிறான்
She has long hair,அவளுக்கு நீண்ட தலைமுடி உள்ளது
We are friends,நாங்கள் நண்பர்கள்
The sky is blue,வானம் நீலமாக உள்ளது
I want to buy a car,நான் ஒரு கார் வாங்க விரும்புகிறேன்
Please sit down,தயவு செய்து அமருங்கள்
He opened the window,அவன் ஜன்னலைத் திறந்தான்
The dog is barking,நாய் குக்குருகிறது
She is writing a letter,அவள் ஒரு கடிதம் எழுதுகிறாள்
I will visit you soon,நான் விரைவில் உங்களை பார்க்கிறேன்
The flowers are blooming,மலர்கள் மலர்ந்து வருகின்றன
It is very hot today,இன்று மிகவும் வெப்பமாக உள்ளது
We are going to the park,நாங்கள் பூங்காவிற்கு போகிறோம்
He runs fast,அவன் வேகமாக ஓடுகிறான்
I have a new phone,எனக்கு புதிய கைபேசி உள்ளது
She likes to read stories,அவள் கதைகள் வாசிக்க விரும்புகிறாள்
The train arrives at 5,த TRAIN 5 மணிக்கு வரும்
I am tired,நான் சோர்ந்திருக்கிறேன்
Please close the door,தயவு செய்து கதவை மூடவும்
They are eating dinner,அவர்கள் இரவு உணவு சாப்பிடுகிறார்கள்
I need some help,எனக்கு உதவி வேண்டும்
The stars are shining,நட்சத்திரங்கள் பிரகாசிக்கின்றன
He is my best friend,அவன் என் சிறந்த நண்பன்
She dances very well,அவள் நன்றாக நடனம் செய்கிறாள்
I like chocolate,எனக்கு சாக்லேட் பிடிக்கும்
We live near the river,நாங்கள் ஆற்றுக்கருவோருக்கு அருகில் வாழ்கிறோம்
The baby is sleeping,பாப்பா உறங்குகிறான்
It is a beautiful day,இன்று ஒரு அழகான நாள்
She has a nice smile,அவளுக்கு அழகான புன்னகை உள்ளது
I will help you,நான் உன்னை உதவுவேன்
The bus is late,பஸ் தாமதமாக உள்ளது
They are studying hard,அவர்கள் கடுமையாக படிக்கிறார்கள்
He is working now,அவன் இப்போது வேலை செய்கிறான்
I want to drink water,நான் தண்ணீர் குடிக்க விரும்புகிறேன்
She is very kind,அவள் மிகவும் அருள் மிக்கவர்
The food is ready,உணவு தயார்
We are going home,நாங்கள் வீட்டிற்கு போகிறோம்
He lives in Chennai,அவன் சென்னை வாழ்கிறான்
I am happy today,இன்று நான் மகிழ்ச்சியாக இருக்கிறேன்
She is a good singer,அவள் ஒரு நல்ல பாடகி
Please don’t be late,தாமதமாகாதே
They are friends,அவர்கள் நண்பர்கள்
I have a headache,எனக்கு தலைவலி
The children are playing outside,குழந்தைகள் வெளியே விளையாடுகிறார்கள்
He likes football,அவனுக்கு கால்பந்து பிடிக்கும்
I need to study,எனக்கு படிக்க வேண்டும்
She is wearing a blue dress,அவள் நீல உடை அணிந்திருக்கிறாள்
The book is on the table,புத்தகம் மேசையில் உள்ளது
We are happy,நாங்கள் சந்தோஷமாக இருக்கிறோம்
He is my brother,அவன் என் அண்ணன்
Please wait for me,என்னை காத்திருக்கவும்
They are coming soon,அவர்கள் விரைவில் வருகிறார்கள்
I like this song,எனக்கு இந்த பாடல் பிடிக்கும்
She works in a hospital,அவள் ஒரு மருத்துவமனையில் வேலை செய்கிறாள்
I am thirsty,எனக்கு தாகம்
The car is fast,கார் வேகமாக உள்ளது
We went to the beach,நாங்கள் கடற்கரைக்கு சென்றோம்
He is a student,அவன் ஒரு மாணவன்
She loves to paint,அவள் ஓவியம் பிடிக்கும்
I am going to sleep,நான் தூங்க போகிறேன்
They live in a big house,அவர்கள் ஒரு பெரிய வீட்டில் வாழ்கிறார்கள்
I like to watch movies,எனக்கு சினிமா பார்க்க விருப்பம்
She cooks very well,அவள் நன்றாக சமைக்கிறாள்
He goes to work by bus,அவன் பஸ்ஸில் வேலைக்கு செல்கிறான்
We enjoy listening to music,நாங்கள் இசை கேட்கும் போது மகிழ்கிறோம்
The children are learning English,குழந்தைகள் ஆங்கிலம் கற்றுக்கொள்கிறார்கள்
I am waiting for you,நான் உன்னை காத்திருக்கிறேன்
She has a pet dog,அவளுக்கு ஒரு செல்ல நாய் உள்ளது
The garden is full of flowers,தோட்டம் மலர்களால் நிரம்பியுள்ளது
He is watching a football match,அவன் கால்பந்து போட்டியை பார்க்கிறான்
I need to buy groceries,எனக்கு கடைக்குச் செல்ல வேண்டும்
We visited the museum yesterday,நாங்கள் நேற்று அருங்காட்சியகத்திற்கு சென்றோம்
She speaks Tamil fluently,அவள் தமிழ் திறமையாக பேசுகிறாள்
He is writing his homework,அவன் தனது வீட்டுப்பாடத்தை எழுதுகிறான்
The train is delayed by ten minutes,ரயில் பத்து நிமிடங்கள் தாமதமாக உள்ளது
I will meet you at the station,நான் உங்களை நிலையத்தில் சந்திப்பேன்
She is wearing a beautiful necklace,அவள் ஒரு அழகான நெகலேஸ் அணிந்திருக்கிறாள்
The baby is learning to walk,பாப்பா நடக்க கற்றுக்கொள்கிறான்
We are planning a trip next week,நாங்கள் அடுத்த வாரம் ஒரு பயணம் திட்டமிடுகிறோம்
He likes to play the piano,அவனுக்கு பியானோ வாசிக்க பிடிக்கும்
I have lost my keys,எனது சாவிகள் தொலைந்துவிட்டன
She is painting a picture,அவள் ஒரு படம் வரைந்து கொண்டிருக்கிறாள்
The sun is shining brightly,சூரியன் பிரகாசமாக கதிரியுகிறது
We are going to watch a play,நாங்கள் ஒரு நாடகத்தைப் பார்க்க போகிறோம்
He is reading the newspaper,அவன் பத்திரிக்கை வாசிக்கிறான்
I bought a new dress,நான் புதிய உடை வாங்கினேன்
She is cleaning the house,அவள் வீட்டை சுத்தம் செய்கிறாள்
They are planting trees,அவர்கள் மரங்கள் நடுகின்றனர்
I like to swim in the pool,எனக்கு குளத்தில் நீந்த விருப்பம்
He travels by train daily,அவன் தினமும் ரயிலில் பயணம் செய்கிறான்
She enjoys cooking new recipes,அவள் புதிய சமையல் செய்முறைகளை விரும்புகிறாள்
We stayed at a hotel last night,நாங்கள் நேற்று இரவு ஓர் ஹோட்டலில் தங்கினோம்
I need to charge my phone,எனது கைபேசியை சார்ஜ் செய்ய வேண்டும்
He is learning to drive,அவன் ஓட்டுனர் ஆக கற்றுக்கொள்கிறான்
The flowers smell good,மலர்கள் நறுமணமாக இருக்கின்றன
She is writing a story,அவள் ஒரு கதை எழுதுகிறாள்
We had lunch at a restaurant,நாங்கள் ஒரு உணவகத்தில் மதிய உணவு சாப்பிட்டோம்
I like to read newspapers,எனக்கு பத்திரிக்கைகள் வாசிக்க பிடிக்கும்
He helps his mother in the kitchen,அவன் தனது தாய்க்கு சமையலறையில் உதவுகிறான்
She is listening to music,அவள் இசை கேட்கிறாள்
We are watching a documentary,நாங்கள் ஒரு ஆவணப்படத்தைப் பார்க்கிறோம்
I need to buy a gift,எனக்கு ஒரு பரிசு வாங்க வேண்டும்
He is practicing yoga every morning,அவன் ஒவ்வொரு காலையும் யோகா பயிற்சி செய்கிறான்
She loves to travel,அவள் பயணம் செய்வதை விரும்புகிறாள்
We are going to the zoo tomorrow,நாங்கள் நாளை உயிரியல் பூங்காவுக்கு போகிறோம்
I am feeling sleepy,நான் தூக்கம் வரும்
He opened the book carefully,அவன் புத்தகத்தை கவனமாக திறந்தான்
She is drawing a picture,அவள் ஓவியம் வரைகிறாள்
We need to clean the room,நாம் அறையை சுத்தம் செய்ய வேண்டும்
I enjoy reading novels,நான் நாவல்கள் வாசிப்பதில் மகிழ்ச்சி அடைகிறேன்
He is fixing the bicycle,அவன் சைக்கிளை சரி செய்கிறான்
She likes to wear traditional clothes,அவள் பாரம்பரிய உடைகளை அணிய விரும்புகிறாள்
We are going to the library,நாங்கள் நூலகத்திற்கு போகிறோம்
I have an appointment tomorrow,எனக்கு நாளை நேர்காணல் உள்ளது
He enjoys fishing on weekends,அவன் வார இறுதியில் மீன்வளைப்பதில் மகிழ்கிறான்
She studies science at school,அவள் பள்ளியில் அறிவியலை படிக்கிறாள்
We are planning a surprise party,நாங்கள் ஒரு அதிர்ச்சிப் பண்டிகையை திட்டமிடுகிறோம்
I like to jog in the morning,எனக்கு காலை நேரம் ஓடுவது பிடிக்கும்
He bought a new laptop,அவன் புதிய லேப்டாப்பை வாங்கினான்
She is making a cake,அவள் கேக் செய்கிறாள்
We visited a temple last week,நாங்கள் கடந்த வாரம் கோவிலுக்கு சென்றோம்
I have a meeting at noon,எனக்கு மத்தியான நேரில் ஒரு கூட்டம் உள்ளது
He plays cricket with his friends,அவன் தனது நண்பர்களுடன் கிரிக்கெட் ஆடுகிறான்
She is cleaning her room,அவள் தன் அறையை சுத்தம் செய்கிறாள்
We enjoy watching sunsets,நாங்கள் சூரிய அஸ்தமனம் பார்க்கும் போது மகிழ்கிறோம்
I want to learn swimming,நான் நீந்த கற்றுக்கொள்ள விரும்புகிறேன்
He writes poems,அவன் கவிதைகள் எழுதுகிறான்
She has a beautiful voice,அவளுக்கு அழகான குரல் உள்ளது
We are going on vacation next month,நாங்கள் அடுத்த மாதம் விடுமுறைக்கு போகிறோம்
I like to drink coffee in the morning,எனக்கு காலை நேரம் காபி குடிக்க பிடிக்கும்
He is studying for exams,அவன் தேர்வுகளுக்காக படிக்கிறான்
She is planting flowers in the garden,அவள் தோட்டத்தில் மலர்கள் நடுகிறாள்
We had a picnic last Sunday,நாங்கள் கடந்த ஞாயிற்றுக்கிழமை பிக்னிக் போயிருந்தோம்
